match_type,gt_token,pred_token,gt_token_id,pred_token_id,prob_1,prob_2,gap_13,gap_12,correct,row_index,entropy,top3_ids,relative_prob,relative_prob_cal
insert,\,.,59,13,0.9983296990394592,0.0005315811722539365,0.9978543435572647,0.9977981178672053,False,1,0.016335034742951393,"[13, 59, 500]",0.0005324705583389898,0.5393258426966292
replace,य,प,269,277,0.455939382314682,0.23293259739875793,0.25194840133190155,0.22300678491592407,False,2,1.5647783279418945,"[277, 466, 337]",0.510885013302035,0.38768115942028986
replace,द,ठ,276,336,0.9994701743125916,0.0003046213532797992,0.9993971948933904,0.9991655529593118,False,2,0.0055314707569777966,"[336, 275, 270]",0.0003047828350548925,0.6309523809523809
delete,थ,ा,303,259,0.9994925260543823,7.910392014309764e-05,0.9994426986959297,0.9994134221342392,False,2,0.006139669567346573,"[500, 267, 273]",7.914408370352697e-05,0.6309523809523809
replace,े,ि,265,263,0.9999946355819702,1.6003916698537068e-06,0.9999940562094025,0.9999930351903004,False,2,9.179978223983198e-05,"[271, 268, 328]",1.60040025506969e-06,0.7522842639593909
replace,थ,्,303,260,0.9933755993843079,0.006447204388678074,0.9933139372442383,0.9869283949956298,False,2,0.04107091575860977,"[263, 260, 270]",0.006490198060707388,0.5393258426966292
insert,ल,न,272,262,0.9741689562797546,0.025669822469353676,0.974060853892297,0.948499133810401,False,2,0.12121612578630447,"[262, 264, 272]",0.026350482946391494,0.4473684210526316
insert,ल,ध,272,300,0.961812436580658,0.010506732389330864,0.9569037444889545,0.9513057041913271,False,2,0.26862651109695435,"[260, 259, 303]",0.010923889097008744,0.4473684210526316
replace,प,य,277,269,0.9682283997535706,0.022646566852927208,0.9657533199060708,0.9455818329006433,False,2,0.1873961240053177,"[300, 303, 259]",0.023389694888820776,0.4473684210526316
replace,द,हन,276,481,0.9968834519386292,0.003054336179047823,0.9968751990745659,0.9938291157595813,False,2,0.021660029888153076,"[259, 436, 261]",0.0030638849236669405,0.5393258426966292
delete,न,ा,262,259,0.9994925260543823,7.910392014309764e-05,0.9994426986959297,0.9994134221342392,False,2,0.006139669567346573,"[500, 267, 273]",7.914408370352697e-05,0.6309523809523809
replace,थ,प,303,277,0.9999880790710449,2.4516216399206314e-06,0.9999866381199354,0.999985627449405,False,2,0.00019282713765278459,"[268, 348, 241]",2.4516508658764264e-06,0.7464788732394366
replace,अ,ञ,335,346,0.4871674180030823,0.37847545742988586,0.4334370233118534,0.10869196057319641,False,2,1.2855321168899536,"[481, 308, 276]",0.7768899221160379,0.38768115942028986
delete,र,ा,261,259,0.9994925260543823,7.910392014309764e-05,0.9994426986959297,0.9994134221342392,False,2,0.006139669567346573,"[500, 267, 273]",7.914408370352697e-05,0.6309523809523809
delete,्,ा,260,259,0.9994925260543823,7.910392014309764e-05,0.9994426986959297,0.9994134221342392,False,2,0.006139669567346573,"[500, 267, 273]",7.914408370352697e-05,0.6309523809523809
delete,ज,ा,285,259,0.9994925260543823,7.910392014309764e-05,0.9994426986959297,0.9994134221342392,False,2,0.006139669567346573,"[500, 267, 273]",7.914408370352697e-05,0.6309523809523809
replace,लम,ल,428,272,0.5818653702735901,0.2824815809726715,0.5092088058590889,0.2993837893009186,False,2,1.2310540676116943,"[346, 291, 357]",0.48547584270198124,0.38768115942028986
insert,ल,स,272,274,0.998753547668457,0.0012092174729332328,0.9987471301305959,0.9975443301955238,False,2,0.009872992523014545,"[269, 262, 308]",0.0012107265859091002,0.5393258426966292
replace,घ,चन,368,464,0.8205054998397827,0.16582705080509186,0.8196447355439886,0.6546784490346909,False,2,0.5735610127449036,"[272, 428, 282]",0.20210352135052395,0.38768115942028986
delete,न,ा,262,259,0.9994925260543823,7.910392014309764e-05,0.9994426986959297,0.9994134221342392,False,2,0.006139669567346573,"[500, 267, 273]",7.914408370352697e-05,0.6309523809523809
replace,प,य,277,269,0.6438235640525818,0.24738731980323792,0.5882861539721489,0.39643624424934387,False,2,1.0364164113998413,"[305, 368, 300]",0.3842470726701043,0.38768115942028986
replace,व,ज,273,285,0.8414474725723267,0.12338921427726746,0.8099719807505608,0.7180582582950592,False,2,0.5457190871238708,"[269, 273, 277]",0.14663923572087445,0.38768115942028986
replace,्,ा,260,259,0.9967641830444336,0.0027938883285969496,0.9964741143921856,0.9939702947158366,False,2,0.02364111691713333,"[265, 268, 263]",0.002802958188228162,0.38768115942028986
replace,मण,र,437,261,0.781579852104187,0.1981746405363083,0.7737879366613925,0.5834052115678787,False,2,0.6427896618843079,"[285, 273, 272]",0.25355648562687233,0.38768115942028986
insert,ल,ा,272,259,0.9632963538169861,0.023408759385347366,0.9536827187985182,0.9398875944316387,False,2,0.19852373003959656,"[260, 259, 275]",0.024300683058325712,0.38768115942028986
replace,अ,आ,335,357,0.9995137453079224,0.00012578601308632642,0.9994184949464398,0.999387959294836,False,2,0.005373909138143063,"[261, 275, 276]",0.00012584720688115726,0.38768115942028986
replace,तस,ज,487,285,0.9825647473335266,0.01640498638153076,0.9817391109536402,0.9661597609519958,False,2,0.09296289086341858,"[268, 271, 265]",0.016696086874733125,0.4473684210526316
