match_type,gt_token,pred_token,gt_token_id,pred_token_id,prob_1,prob_2,gap_13,gap_12,correct,row_index,entropy,top3_ids,relative_prob,relative_prob_cal
equal,ह,ह,275,275,0.9999978542327881,5.438500352283882e-07,0.999997602723937,0.9999973103827529,True,0,3.657265187939629e-05,"[275, 266, 261]",5.43851202206466e-07,0.7712707182320442
equal,ा,ा,259,259,0.9999973773956299,5.483657332661096e-07,0.9999969747891839,0.9999968290298966,True,0,4.7290075599448755e-05,"[259, 271, 492]",5.483671714162498e-07,0.7712707182320442
equal,य,य,269,269,0.9999957084655762,2.070585196634056e-06,0.9999954979397927,0.9999936378803795,True,0,7.070060382829979e-05,"[269, 261, 262]",2.0705940826598396e-06,0.7612293144208038
equal,े,े,265,265,0.9999878406524658,3.4080169371009106e-06,0.9999854456584671,0.9999844326355287,True,0,0.00018518517026677728,"[265, 268, 436]",3.4080583768671316e-06,0.7345575959933222
equal,\,\,59,59,0.8402273654937744,0.08255572617053986,0.8285262323915958,0.7576716393232346,True,0,0.8297330737113953,"[59, 436, 308]",0.09825403165966218,0.38768115942028986
equal,श,श,291,291,0.9999929666519165,9.893204833133495e-07,0.9999925135287242,0.9999919773314332,True,1,0.00011903569975402206,"[291, 276, 264]",9.89327441597615e-07,0.7522842639593909
equal,्,्,260,260,0.9999979734420776,8.128226340886613e-07,0.9999976342683397,0.9999971606194435,True,1,3.4942982892971486e-05,"[260, 261, 270]",8.128242813241481e-07,0.7712707182320442
equal,र,र,261,261,0.9999998807907104,1.3130463827337735e-08,0.9999998706481241,0.9999998676602466,True,1,3.3466249078628607e-06,"[261, 267, 329]",1.3130465392611186e-08,0.7852998065764023
equal,ी,ी,271,271,0.9999970197677612,3.4953930594383564e-07,0.9999966725000888,0.9999966702284553,True,1,5.4329346312442794e-05,"[271, 269, 285]",3.4954034765524847e-07,0.7699619771863118
equal,द,द,276,276,0.9999953508377075,9.115929060499184e-07,0.999994703079949,0.9999944392448015,True,1,8.062177221290767e-05,"[276, 275, 273]",9.115971442129872e-07,0.7579908675799086
equal,ु,ु,270,270,0.999998927116394,1.4790070679282508e-07,0.9999988773819197,0.9999987792156873,True,1,2.2741825887351297e-05,"[270, 259, 232]",1.4790086547323896e-07,0.7852998065764023
equal,र,र,261,261,0.9999991655349731,9.051696991946301e-08,0.9999990921848294,0.9999990750180032,True,1,1.6431886251666583e-05,"[261, 282, 262]",9.051704545277177e-08,0.7852998065764023
equal,्,्,260,260,0.9999972581863403,5.626367851618852e-07,0.9999969853896289,0.9999966955495552,True,1,5.059251270722598e-05,"[260, 261, 282]",5.626383278113378e-07,0.7712707182320442
equal,ग,ग,282,282,0.9999990463256836,1.3981475888158457e-07,0.9999989586953149,0.9999989065109247,True,1,1.7038530131685548e-05,"[282, 331, 290]",1.3981489221945633e-07,0.7852998065764023
equal,ा,ा,259,259,0.9999841451644897,7.706961696385406e-06,0.9999811664188201,0.9999764382027934,True,1,0.00023235019762068987,"[259, 271, 492]",7.70708389093276e-06,0.7345575959933222
equal,स,स,274,274,0.9999978542327881,3.4804475035343785e-07,0.9999975436519151,0.9999975061880377,True,1,3.835086681647226e-05,"[274, 275, 262]",3.4804549717805397e-07,0.7712707182320442
equal,ह,ह,275,275,0.9999990463256836,1.4460651698300353e-07,0.9999989703487913,0.9999989017191666,True,1,1.689093369350303e-05,"[275, 481, 259]",1.446066548906563e-07,0.7852998065764023
